id,code,comment,label,GeneratedComment,BERTScore
0,"public UnsafeSequence(final long initialValue){
  UNSAFE.putOrderedLong(this,VALUE_OFFSET,initialValue);
}
",create a sequence with a specified initial value .,what,// Sets the initial value of the sequence using an ordered write.,0.8944091200828552
1,"public Builder deleteLocal(){
  deleteFields.add(""locale"");
  return this;
}
",delete the local value of a existing user,what,"```java
// Marks the locale for deletion.
```",0.817898691
2,"private void normalizeLocalFileName(StringBuilder localFileName){
  while (true) {
    int dotDotIndex=localFileName.indexOf(""/../"");
    if (dotDotIndex < 0) {
      break;
    }
    int parentIndex=localFileName.lastIndexOf(""/"",dotDotIndex - 1);
    if (parentIndex < 0) {
      break;
    }
    localFileName.delete(parentIndex,dotDotIndex + 3);
  }
  if (localFileName.length() >= 3 && localFileName.lastIndexOf(""/.."") == localFileName.length() - 3) {
    if (localFileName.length() <= 3) {
      localFileName.setLength(0);
    }
 else {
      int parentIndex=localFileName.lastIndexOf(""/"",localFileName.length() - 4);
      if (parentIndex < 0) {
        localFileName.setLength(0);
      }
 else {
        localFileName.setLength(parentIndex);
      }
    }
  }
  while (true) {
    int dotIndex=localFileName.indexOf(""/./"");
    if (dotIndex < 0) {
      break;
    }
    localFileName.delete(dotIndex,dotIndex + 2);
  }
  if (localFileName.length() >= 2 && localFileName.lastIndexOf(""/."") == localFileName.length() - 2) {
    localFileName.setLength(localFileName.length() - 2);
  }
  if (localFileName.length() > 0 && localFileName.charAt(0) == '/') {
    localFileName.deleteCharAt(0);
  }
  if (localFileName.length() > 0 && localFileName.charAt(localFileName.length() - 1) == '/') {
    localFileName.setLength(localFileName.length() - 1);
  }
}
","normalize the given local file name : - resolve "" . . "" and "" . "" special notation - remove leading and trailing "" / """,noisy,Normalizes the path by resolving `..` (parent) and `.` (current) directory segments and removing any leading or trailing slashes.,0.860643208
3,"	public Music getMusic() {
		if (m_multiPartsDef == null) {
			if (m_parts == null) //no part at all
				return (m_defaultPart.getMusic());
			else //ah, they are some parts, but no part order
				//return the same thing than graphical rendition
				//parts in alphabetic order
				return getMusicForGraphicalRendition();
		}
		else {
			Music globalScore = newMusic();
			globalScore.append(m_defaultPart.getMusic());
			Part[] parts = m_multiPartsDef.toPartsArray();
			for (int i = 0; i < parts.length; i++) {
				globalScore.append(parts[i].getMusic());
			}
			return globalScore;
		}
	}
",returns the music of this tune in a raw form,property,"Gets the music of the score, assembled from all its parts.",0.901024342
4,"public boolean isQuoteDelimiter(String character){
  return (m_QuoteDelimiters.indexOf(character.charAt(0)) > -1);
}
",checks whether the character is quote delimiter .,what,"```java
// Determines if the given character is a quote delimiter.
```",0.8913567066192627
5,"public void addColumn(String header){
  WTableColumn tableColumn;
  tableColumn=new WTableColumn();
  tableColumn.setHeaderValue(Util.cleanAmp(header));
  setColumnVisibility(tableColumn,true);
  m_tableColumns.add(tableColumn);
  return;
}
",add table column .,what,"Adds a new, visible column with the specified header.",0.8841439485549927
6,"	public ArrayList getEdgesBetween(Node source, Node target){
		ArrayList ans=new ArrayList();
		
		EdgeIterator eit=edges();
		
		while(eit.hasNext()){
			Edge edge=eit.nextEdge();
			if((edge.source()==source && edge.target()==target)||
					(edge.target()==source && edge.source()==target))
				ans.add(edge);
		}
		
		return ans;
	}
",get the set of edges between the source and the target,what,"```java
// Finds all edges connecting the source and target nodes, regardless of direction.
```",0.8891369104385376
7,"public <E> List<E> findByRange(Class<E> entityClass, EntityMetadata metadata, byte[] startRow, byte[] endRow,
            String[] columns, Filter f, Queue filterClausequeue)
    {
        EntityMetadata entityMetadata = KunderaMetadataManager.getEntityMetadata(kunderaMetadata, entityClass);
        // columnFamily has a different meaning for HBase, so it won't be used
        // here
        String tableName = entityMetadata.getSchema();
        List results = new ArrayList();

        FilterList filter = new FilterList();
        if (f != null)
        {
            filter.addFilter(f);
        }
        if (isFindKeyOnly(metadata, columns))
        {
            columns = null;
            filter.addFilter(new KeyOnlyFilter());
        }

        try
        {
            MetamodelImpl metaModel = (MetamodelImpl) kunderaMetadata.getApplicationMetadata().getMetamodel(
                    entityMetadata.getPersistenceUnit());

            EntityType entityType = metaModel.entity(entityClass);

            List<AbstractManagedType> subManagedType = ((AbstractManagedType) entityType).getSubManagedType();

            if (!subManagedType.isEmpty())
            {
                for (AbstractManagedType subEntity : subManagedType)
                {
                    EntityMetadata subEntityMetadata = KunderaMetadataManager.getEntityMetadata(kunderaMetadata,
                            subEntity.getJavaType());
                    List found = handler.readDataByRange(tableName, subEntityMetadata.getEntityClazz(),
                            subEntityMetadata, startRow, endRow, columns, filter);
                    results.addAll(found);
                }
            }
            else
            {
                results = handler.readDataByRange(tableName, entityClass, metadata, startRow, endRow, columns, filter);
            }
            if (showQuery && filterClausequeue.size() > 0)
            {
                KunderaCoreUtils.printQueryWithFilterClause(filterClausequeue, entityMetadata.getTableName());
            }
        }
        catch (IOException ioex)
        {
            log.error(""Error during find by range, Caused by: ."", ioex);
            throw new KunderaException(ioex);
        }
        return results;
    }",handles find by range query for given start and end row key range values .,how-it-is-done,"Aggregates results from a range scan for each sub-entity to support inheritance, or performs a single scan if no sub-types exist.",0.8248524069786072
8,"private int readUTFChar(StringBuilder sbuf,long utflen) throws IOException {
  int b1, b2, b3;
  b1=readByte() & 0xFF;
switch (b1 >> 4) {
case 0:
case 1:
case 2:
case 3:
case 4:
case 5:
case 6:
case 7:
    sbuf.append((char)b1);
  return 1;
case 12:
case 13:
if (utflen < 2) {
  throw new UTFDataFormatException();
}
b2=readByte();
if ((b2 & 0xC0) != 0x80) {
throw new UTFDataFormatException();
}
sbuf.append((char)(((b1 & 0x1F) << 6) | ((b2 & 0x3F) << 0)));
return 2;
case 14:
if (utflen < 3) {
if (utflen == 2) {
readByte();
}
throw new UTFDataFormatException();
}
b2=readByte();
b3=readByte();
if ((b2 & 0xC0) != 0x80 || (b3 & 0xC0) != 0x80) {
throw new UTFDataFormatException();
}
sbuf.append((char)(((b1 & 0x0F) << 12) | ((b2 & 0x3F) << 6) | ((b3 & 0x3F) << 0)));
return 3;
default :
throw new UTFDataFormatException();
}
}
","reads in single utf - encoded character one byte at a time , appends the character to sbuf , and returns the number of bytes consumed .",how-it-is-done,"Switches on the leading bits of the first byte to decode a 1, 2, or 3-byte UTF-8 character sequence.",0.8329416513442993
9,"public GrpcChannelBuilder setChannelType(Class<? extends io.netty.channel.Channel> channelType) {
    mChannelKey.setChannelType(channelType);
    return this;
  }",sets the channel type .,what,Specifies the Netty channel type to be used by the transport.,0.8898900747299194
